pid,block_number,ecg_rate_mean,ecg_rate_var,hrv_rmssd,ecg_rate_mean_norm,hrv_rmssd_norm
1,1.0,95.34552535956355,659.7554979391472,268.9639861401246,0.29195828564875564,0.5351000900294098
1,6.0,95.2287049896416,718.5335707795937,288.0916277907953,0.2851669449232008,0.589968859057832
1,4.0,94.82851627810386,760.2073105953039,303.00117042358715,0.2619020135042259,0.6327377620924297
1,2.0,94.1748184817163,692.2988617988846,287.80372548008336,0.22389935634967098,0.5891429942869574
1,7.0,92.41948654671558,833.7285900938508,331.0504881490127,0.12185330680367422,0.7131988855172945
1,3.0,91.6861216168165,836.6155524391646,334.18938650144514,0.07921920867126188,0.7222030007056021
1,5.0,91.30127719216506,722.0743296735016,312.68975116998143,0.056846315862549575,0.6605300278037901
2,1.0,101.32591476609413,600.6986193064357,218.2360899820015,0.6396276361086282,0.3895841258331528
2,7.0,96.74586643206756,927.097083012934,311.7937803954215,0.3733669762882152,0.6579598827548933
2,6.0,91.09739162152331,962.000407949556,351.2746182470727,0.0449934482489875,0.7712129963740975
2,4.0,91.23056013542748,913.0598552341204,343.0061168008692,0.05273518671842732,0.747494311951389
2,2.0,93.42674867519399,994.4251361750316,371.6013405979933,0.1804103916598055,0.8295213991634408
2,5.0,96.22497726653017,1031.610509154051,344.5215920981877,0.34308513583712197,0.7518415422882733
2,3.0,94.99839781513161,1076.919864181216,353.9083606273629,0.27177805996519144,0.7787680418409516
3,2.0,95.77822967418216,746.32434275662,309.22642779730023,0.3171135084575507,0.6505952802966547
3,4.0,91.47113252437163,828.6661144725949,331.54918675131495,0.06672083890881081,0.7146294318922345
3,5.0,95.5348751575086,970.1240323397906,328.0188929985806,0.3029661175450153,0.7045025758971846
3,1.0,93.91859180499617,992.1930114777967,358.20643450019173,0.2090036436777666,0.7910973204264834
3,6.0,96.37378907733778,1059.3072021581959,336.936056443007,0.3517362958347868,0.7300819855471851
3,7.0,102.90907352131042,977.8922591551134,311.24606689972217,0.7316644147671975,0.656388734265282
3,3.0,97.41576404992243,1021.4699602614111,337.8304304986169,0.4123114084718268,0.7326475503135322
5,3.0,96.34408270086963,290.3022494440191,211.1309629696833,0.35000931855803674,0.3692026496388401
5,2.0,99.30824448293903,259.82763009390175,169.04634542360253,0.5223305724724873,0.24848044028563343
5,5.0,99.95312876356674,269.35721649078556,175.98095529437524,0.5598208567544412,0.2683727779951441
5,6.0,98.68237082704904,282.20878136205727,177.87242081981745,0.4859454689914994,0.27379855849313206
5,7.0,98.79513708851356,313.29495276039063,190.5395215899299,0.49250112452027545,0.3101348846910184
5,1.0,101.90255481870756,276.6086889831678,160.19411253041696,0.6731505489012857,0.22308728775420422
5,4.0,97.33863207993744,343.0519759602171,208.73819665850002,0.4078273489764554,0.3623388582491315
6,3.0,94.7686799090696,572.1046701115446,261.81388620172436,0.2584234320704984,0.5145896063422346
6,6.0,92.92134464089537,618.5270408862948,266.40741609642794,0.15102877779156443,0.5277664179649474
6,2.0,90.32344263546628,384.17849894239055,245.31105721695343,0.0,0.4672502673678872
6,4.0,92.5766938645268,401.2820562638707,256.6869169016758,0.13099253877597417,0.49988259230057863
6,1.0,93.21867259073412,320.5499027996276,235.4659595461729,0.16831390893722534,0.4390090236209683
6,5.0,92.24777824783054,314.1266707032112,224.27827294771694,0.11187106172164987,0.40691648429260163
6,7.0,94.99502430734226,312.46387914806934,223.12342036873994,0.27158194142137,0.40360372150798807
7,1.0,104.44698969419001,238.21282142118218,135.88799380404365,0.8210710203475805,0.1533637515895659
7,6.0,102.58788421148243,241.97317004372934,130.78000386565876,0.7129921058034017,0.13871118096704396
7,3.0,106.6414523586216,226.96564511372256,119.00152751870226,0.9486458916959641,0.1049239263754552
7,2.0,103.40298722843478,460.9226308874532,191.91966887013598,0.7603780395943097,0.31409391862347275
7,4.0,101.90209474494836,564.152902957724,221.97339784107558,0.6731238025585057,0.40030481401064455
7,7.0,100.03008010110393,908.4194919192767,300.8960469829324,0.5642944152002106,0.6266990912541168
7,5.0,98.82763592913375,1004.895847992839,326.931038735093,0.49439044142609145,0.7013820017349333
9,1.0,98.93949819615598,217.9281345194699,161.2057121278522,0.5008935433268004,0.22598912090617423
9,7.0,102.95226865254472,184.28295733139555,123.94871003984713,0.7341755594767474,0.11911521143043353
9,4.0,102.18533972972381,175.3250877349641,125.69450478508294,0.6895902219141352,0.1241231266976049
9,2.0,102.94322183887662,185.1517747364086,125.4627428084001,0.733649623853177,0.12345830378841287
9,6.0,100.02694099063001,235.04859038811662,154.83596493708285,0.5641119233212873,0.20771712513363172
9,5.0,100.15028257310396,234.41991138534922,149.94405002975856,0.5712823740977176,0.19368437849090803
9,3.0,103.6475460453653,249.66296732246767,137.31918738597236,0.7745954423839376,0.15746921485137125
11,4.0,95.42043251666719,837.3651414719787,311.76634120113704,0.2963130058659005,0.6578811718065696
11,6.0,101.78043404522188,793.0541738989236,257.3633439439784,0.6660510697354208,0.5018229631955646
11,1.0,101.09223289704452,623.1347239475174,232.35284886002535,0.6260425636151871,0.4300788818754408
11,7.0,103.31785849385246,580.7435738917646,215.85222519242927,0.7554290889749087,0.382745868983572
11,3.0,103.31533786999321,530.7575505730625,207.8816100539501,0.7552825527545518,0.3598816890164446
11,5.0,104.01397850333912,460.06248671707675,191.2146760379106,0.7958979573191779,0.31207160507408066
11,2.0,105.03294468833973,464.1355097753253,180.005829829271,0.8551354563510771,0.27991836815501775
12,1.0,103.91264458798422,362.48146699998955,163.212921351681,0.7900069201080355,0.23174691903441966
