,pid,n_ica,block_number,alpha,theta,beta,alpha_theta_ratio,beta_theta_ratio,alpha_log,theta_log,beta_log
0,1.0,0.0,1.0,21.583953433571835,17.164517763305973,55.642013405524075,1.2574750850101748,3.2416881250503096,3.071950142011805,2.842844332329511,4.018938552696797
1,1.0,0.0,6.0,25.33309625027576,27.04981230037573,91.09689539583337,0.936535010630143,3.3677459342136733,3.2321116930326834,3.2976800662804573,4.511923724605442
2,1.0,0.0,4.0,19.043578886223926,12.455880295686601,25.048840416473062,1.528882618823706,2.011005229806787,2.9467299784131313,2.5221928243126386,3.2208275356998652
3,1.0,0.0,2.0,11.616216232083067,10.412272189878115,16.86204254663325,1.1156274077597894,1.6194392769548447,2.452402072930108,2.3429851287305126,2.8250650927230896
4,1.0,0.0,7.0,14.974361438962147,9.842398802465091,13.486196315679,1.5214138077001842,1.3702143741931385,2.706339501286793,2.2866994620927885,2.6016666672047326
5,1.0,0.0,3.0,14.842670501641427,7.977018495669801,13.143916907798435,1.8606789629105833,1.647723007654226,2.697506174490443,2.076564719551076,2.5759590590319688
6,1.0,0.0,5.0,14.700983103482358,16.359724553160625,49.225557499719315,0.898608228745648,3.0089478181470457,2.6879143693363865,2.79482249442899,3.896412950001316
7,2.0,0.0,1.0,5.414766097058359,5.450154153574269,2.2658866501579684,0.9935069622768922,0.4157472589416532,1.6891296841475893,1.695643893334637,0.8179661393590719
8,2.0,0.0,7.0,4.77414396024259,11.897600447320357,22.968291678394422,0.4012694813026646,1.930497815932915,1.5632146825190827,2.476336736702461,3.134114642076094
9,2.0,0.0,6.0,27.839524320655094,29.537799043739096,88.7963535830313,0.9425050349699643,3.0061939771322534,3.3264567491368826,3.385670766667925,4.486345585900854
10,2.0,0.0,4.0,3.378885190509237,5.365514938833059,5.2977046661944325,0.6297410833868832,0.9873618332235274,1.2175458297974773,1.6799923526199276,1.6672736449009395
11,2.0,0.0,2.0,14.600815488778412,7.203275201402604,5.387705440214277,2.026968994039736,0.7479521869670058,2.681077382550218,1.9745358116750305,1.6841195874572212
12,2.0,0.0,5.0,19.507879520108474,8.072752305082929,17.498134237911085,2.416509113976596,2.1675549523417876,2.9708184619064713,2.0884944780498134,2.862094260269178
13,2.0,0.0,3.0,9.285134558864366,5.3533117702161155,5.655105425608433,1.734465496764729,1.0563751315720835,2.228414686769059,1.6777153918628385,1.7325587522958867
14,3.0,0.0,2.0,23.589018796214468,24.73341772753773,62.918141650018995,0.9537306593075849,2.5438514944890573,3.1607812984983363,3.2081552736640018,4.141834542630241
15,3.0,0.0,4.0,28.92533779065666,32.54587122642205,99.31545013854162,0.8887559834985737,3.051552974188423,3.364717951167356,3.482650516566859,4.598301149467227
16,3.0,0.0,5.0,25.18283960054262,11.367366798055878,27.854241048778068,2.21536262952732,2.450368809559474,3.2261627943207625,2.4307466888613396,3.326985236602863
17,3.0,0.0,1.0,22.306076606931054,13.033018248572473,25.005534144760617,1.711505054431599,1.9186295659103763,3.1048591349307917,2.5674860027296385,3.219097166160834
18,3.0,0.0,6.0,4.954183855305817,6.5428879460179825,6.124370083011698,0.7571861074467805,0.9360346888928465,1.600232442874644,1.8783786499604223,1.812275907552099
19,3.0,0.0,7.0,5.149452391300598,6.743799539231669,6.493164955815603,0.7635832532304605,0.9628348111538586,1.638890377235728,1.9086234959445618,1.8707500783808504
20,3.0,0.0,3.0,5.17102933129557,8.95668632695502,15.645766911314494,0.5773373257175961,1.7468253704753263,1.6430717656655607,2.1924003290021012,2.7502003954984917
21,5.0,0.0,3.0,9.202308931870924,13.634716410519522,29.14586599703928,0.6749175160527076,2.1376217238044295,2.219454423422613,2.6126192174394913,3.3723130844559512
22,5.0,0.0,2.0,4.036041538666932,5.520270227611207,6.293650989813865,0.7311311534133815,1.1400983521303674,1.3952643944767875,1.708426813368175,1.8395413458517769
23,5.0,0.0,5.0,6.337219600487278,5.321827631794748,9.67247000365697,1.190797605436555,1.8175090726106438,1.8464401234394359,1.6718167841683063,2.2692837063891664
24,5.0,0.0,6.0,5.620374863821024,5.738061061164058,8.274684266042804,0.9794902500882137,1.4420697475750026,1.7263983634286502,1.747121359043866,2.1132007653742093
25,5.0,0.0,7.0,5.844314105257805,7.609097248653626,15.471631298448695,0.7680693141741504,2.0333070787321437,1.765469240777021,2.0293445378531025,2.7390081081819506
26,5.0,0.0,1.0,7.196998042424395,12.069532303550467,24.49879806470255,0.5962946915770109,2.029805086771738,1.9736640005267967,2.4906842856884728,3.1986240577637
27,5.0,0.0,4.0,12.432710606764973,13.093360097953775,28.848624651746597,0.94954316644113,2.2033018595627754,2.520330951480567,2.5721052389571386,3.3620623194346106
28,6.0,0.0,3.0,6.79892124187953,6.854148024439101,10.827992106663624,0.9919425751584799,1.5797721420744655,1.9167639586971932,1.92485402001511,2.3821346427772436
29,6.0,0.0,6.0,9.154140989512037,11.416788910754422,22.726384911330985,0.8018139829920996,1.990610940517882,2.2142063440695856,2.4350849834941357,3.123526580399425
30,6.0,0.0,2.0,8.775706193304218,14.200915655008446,32.933400603237246,0.6179676301513107,2.3191040214102068,2.171987243983186,2.6533064452753656,3.494487358692045
31,6.0,0.0,4.0,16.647551997847746,21.38254050237978,58.28574546065974,0.7785581884432745,2.7258568949827455,2.8122631784606096,3.062574724654557,4.0653575602129655
32,6.0,0.0,1.0,2.9329314847426096,6.324291263933812,7.7394238558999335,0.46375654794214494,1.2237614513481287,1.0760024295937916,1.8443979752021684,2.0463272476088172
33,6.0,0.0,5.0,7.489690387154783,6.300340879541854,10.360071496926876,1.1887754218942224,1.6443668199870856,2.013527459846271,1.8406037397974957,2.3379591380552913
34,6.0,0.0,7.0,4.116676839052098,5.838933777604516,7.9734762125228205,0.7050391382827103,1.365570584668289,1.4150462454276247,1.7645482078437855,2.076120559884555
35,7.0,0.0,1.0,4.010322201956049,6.227721334099012,7.7431273170697885,0.643946956970938,1.243332336447584,1.388871587705595,1.8290105089275173,2.046805652130025
36,7.0,0.0,6.0,3.51184760456281,6.0252871059179345,8.192725530812988,0.5828514961741048,1.3597236757010687,1.2561422820531332,1.7959651306758895,2.1032466301485053
37,7.0,0.0,3.0,4.553169519417285,8.210088402854607,7.747018102923766,0.5545822768283677,0.9435974039244408,1.5158235881254432,2.1053636911109463,2.047308008412721
38,7.0,0.0,2.0,19.864387577181603,18.20161631277744,42.26736439244329,1.0913529455753281,2.322176430165261,2.9889285595530533,2.9015103985338824,3.744015260906414
39,7.0,0.0,4.0,2.987773327149501,5.037366579136459,5.122061888356387,0.5931220768256429,1.0168134099215085,1.0945284033318978,1.6168834413908295,1.63355707055408
40,7.0,0.0,7.0,17.67885164625984,21.015180032592767,61.04711744996277,0.841241979314069,2.9049057564714578,2.8723691029653917,3.045245035281806,4.111645983225167
41,7.0,0.0,5.0,24.026408274286634,25.839131679181968,94.37536972724637,0.9298458080015202,3.6524203250716267,3.179153570174309,3.251890074602955,4.547280125201212
42,9.0,0.0,1.0,7.253394431450246,8.952305024343985,17.77011616836767,0.8102264625396594,1.9849766199928878,1.9814695567377736,2.1919110437472815,2.8775181794759552
43,9.0,0.0,7.0,11.983485991278089,11.998756710080949,29.671548842304233,0.9987273082393586,2.472885279636948,2.483529534606517,2.484803036927119,3.3901886352423687
44,9.0,0.0,4.0,13.104742797664153,15.297248099506296,36.3885750328538,0.8566732207270075,2.378766088916882,2.5729742103076214,2.7276729494437744,3.594254852650545
45,9.0,0.0,2.0,16.24193302600962,21.415836785025547,56.56169997938427,0.7584075835582739,2.6411155700875315,2.7875963563453525,3.064130685019116,4.035332077349231
46,9.0,0.0,6.0,23.6074933734569,28.12876604379681,84.58284126282021,0.8392651613902923,3.0069872646074756,3.1615641774585277,3.3367927553397156,4.437731424088544
47,9.0,0.0,5.0,25.641540843792985,25.434855742159804,87.55882239715424,1.0081260575537918,3.442473717357092,3.2442137255585575,3.2361205066313516,4.472310823468223
48,9.0,0.0,3.0,11.427156600749251,11.75916513644822,24.009316359330242,0.9717659772741954,2.04175348170866,2.435992680520593,2.464632948151823,3.1784419366637056
49,11.0,0.0,4.0,13.050400088125947,17.79112094202404,44.3482011207033,0.7335344484843485,2.4927153980471983,2.5688187913926948,2.878699509362422,3.79207214695672
50,11.0,0.0,6.0,15.882016255225833,19.530524978648565,51.87698968342751,0.81318941874776,2.656200472856782,2.765187415972422,2.9719786251544766,3.948875333158496
51,11.0,1.0,1.0,13.18923900470944,22.263825013660853,54.66847842628732,0.5924066954630061,2.4554845536534406,2.5794012701982023,3.1029631645835063,4.001287280551187
52,11.0,0.0,7.0,17.56537550990381,21.872204632146143,57.026100015275674,0.8030912203558814,2.6072406039701614,2.865929663792939,3.085216635833317,4.0435090580374595
53,11.0,0.0,3.0,12.87144728683829,20.711436488321255,52.19695626584635,0.6214656957327045,2.5201997116558825,2.555011469585314,3.0306860350648885,3.955024184105149
54,11.0,0.0,5.0,11.879222983788253,17.338401803633364,49.54576254345286,0.6851394447035419,2.8575737893598854,2.4747909063904427,2.8529237989174137,3.902896738318912
