,pid,n_ica,interval,block_number,workload,alpha,theta,beta,alpha_theta_ratio,beta_theta_ratio
49,5,0,8.0,7,low,6.123811388846819,6.3717112998999905,15.702131252460351,0.9610936686574197,2.4643507079027276
50,5,0,9.0,7,high,4.342589705362454,5.008273027634159,8.486495636890547,0.8670832603177457,1.6944954059142925
51,6,0,0.0,6,high,9.210778795300486,12.951354064441185,27.341781205131404,0.7111826878850683,2.1111137159164004
52,6,0,1.0,6,low,7.621294463662918,9.607516186572957,20.14444854025007,0.7932637651252781,2.0967384440531123
53,6,0,2.0,6,high,6.85447213604076,9.850324154581758,16.591912290315456,0.6958625958367559,1.6844026683728912
54,6,0,3.0,6,low,16.951656650779018,13.56372039113309,24.003298240915743,1.2497792760355557,1.7696692020138693
55,6,0,4.0,6,high,6.522936812415492,5.593439773465703,7.693771298593927,1.166176284467951,1.3754990864640804
56,6,0,5.0,6,low,4.795097865619296,6.642338037527209,8.48987246010483,0.7218991021728249,1.278145197088677
57,6,0,6.0,6,high,4.557007654221831,5.8612474949241795,6.629700149922954,0.7774808448488456,1.1311073548189616
58,6,0,7.0,6,low,5.724852317920041,4.590517268909561,4.772769588103892,1.247103971635844,1.0397019134267682
59,6,0,8.0,6,high,15.0089541151583,18.363489096724376,44.0553754391084,0.8173258380312678,2.399074337510668
60,6,0,9.0,7,low,3.1983649852834155,5.730199998798867,7.8433876427427185,0.5581593986167741,1.3687807832862389
61,6,0,10.0,7,high,3.2228711358018125,5.431804216178525,4.606785792402773,0.5933334500905891,0.8481133724742047
62,6,0,11.0,7,low,4.1109128533486725,6.7680004114362,9.51766084025652,0.6074043444799848,1.406273679323969
63,6,0,12.0,7,high,3.8789778982412977,6.550565484305819,10.275229841075603,0.5921592429744809,1.5686019574483343
64,6,0,13.0,7,low,3.2976028539934794,5.6236425618406205,7.419145914682247,0.5863820144561558,1.3192776448889307
65,7,0,0.0,6,high,3.580691395391095,4.184816648283187,5.860762514224013,0.855638776160018,1.4004825077888132
66,7,0,1.0,6,low,1.3985799230568525,2.7905420737146733,-1.2783286228967279,0.5011857503352785,-0.4580932984088862
67,7,0,2.0,6,high,18.293273432486842,19.088973049784755,40.66856265413211,0.9583162690196744,2.130474098741036
68,7,0,3.0,7,low,16.18447078253352,21.711795556833245,58.33657765248246,0.745422954088192,2.68686104287319
69,9,0,0.0,7,low,5.392445691926961,7.109115446966659,14.274539160532463,0.7585255482421274,2.0079205728222025
70,9,0,1.0,7,high,11.049324721808143,6.874739963446877,10.579394348875748,1.6072352962523109,1.5388792019955067
