pid,workload,block_number,interval,ecg_rate_mean,ecg_rate_var,hrv_rmssd,ecg_rate_mean_norm,hrv_rmssd_norm
5,low,6.0,4.0,101.27567960586333,255.55876877285337,167.99703258861416,0.665119272596071,0.28547532544109117
5,high,6.0,5.0,98.99786207192798,238.670421030979,148.58883188858997,0.6080681793251085,0.2391029547168107
5,low,6.0,6.0,98.30203722483539,193.5855258276988,141.52591917672385,0.5906402828143866,0.22222740753290918
5,high,6.0,7.0,90.64377786137887,470.13494603542415,305.18899262136614,0.39882857589380016,0.6132705976232011
5,low,7.0,8.0,102.93040522765975,95.19867769079899,90.97720238485259,0.706564166394855,0.10145042923700799
5,high,7.0,9.0,99.91832754350459,227.44674209355037,178.12730745132473,0.6311225112411907,0.3096797774010242
6,high,6.0,0.0,92.77296874970544,548.8556503948671,293.3629176402785,0.4521571090848397,0.5850143392655961
6,low,6.0,1.0,87.64245782099135,297.9665539817018,221.24322865722408,0.32365636081987015,0.41269744056216096
6,high,6.0,2.0,93.97980019822137,508.66023795913384,263.4745725499689,0.4823838733035961,0.5136015668873025
6,low,6.0,3.0,96.0703664950167,658.7477729610058,237.80606413195406,0.5347450001325488,0.4522713278457197
6,high,6.0,4.0,92.40132440309401,570.1261426237934,259.09491989383525,0.44284876196472456,0.5031371822824197
6,low,6.0,5.0,98.96112122530083,811.6380933441928,287.2698638894115,0.6071479539617719,0.5704560939266647
6,high,6.0,6.0,91.76721188246329,742.8301381035507,312.12968415809485,0.42696653609727925,0.6298541195064871
6,low,6.0,7.0,96.04994824340605,695.6753258734988,272.7395457657829,0.5342335967564159,0.5357385377149857
6,low,7.0,9.0,103.1103155491072,379.1721478010753,191.84077933376057,0.7110702694414737,0.34244562787208405
6,high,7.0,10.0,97.59685206843201,452.6881397226766,224.57650184873705,0.5729779443997026,0.42066169147605187
6,low,7.0,11.0,94.20141341664959,450.56562930497404,233.02922661431677,0.4879344831335164,0.44085794214957674
6,high,7.0,12.0,98.17338860130972,286.9896522120302,205.33539990812693,0.587418099952679,0.3746885728895085
6,low,7.0,13.0,93.29701898815082,223.87973533795775,222.51369490327158,0.4652826727381162,0.4157329889195276
7,high,6.0,0.0,100.58415473078034,177.98564663619328,146.7535772171687,0.647799074836688,0.23471794699187984
7,low,6.0,1.0,105.38822800040386,174.9404442205085,104.35239852022127,0.7681237400491422,0.13340803124688966
7,high,6.0,2.0,104.3880921916641,446.6008539136645,179.07814323220097,0.743073954252884,0.3119516268120131
7,low,7.0,3.0,99.63962024937916,849.3092596776033,311.06168011552296,0.6241419012513395,0.6273023178138598
9,low,7.0,0.0,106.25395308619927,99.22437427422611,93.04592618002265,0.7898070232274024,0.10639326903130415
9,high,7.0,1.0,100.73681678375063,124.16168164358696,118.28825154532008,0.6516227072801072,0.16670522107026994
9,low,7.0,2.0,101.77276677886267,143.9955614975326,129.1905881052189,0.677569508950863,0.19275437423653302
9,high,6.0,3.0,106.8006873009534,88.4999014839494,67.32683710409583,0.8035007384682691,0.04494217669391999
9,low,6.0,4.0,104.85047906594865,137.41373616246054,94.77094116459749,0.754655073591491,0.11051487904585558
9,high,6.0,5.0,105.77876156807473,256.03988601472963,117.2051885072404,0.7779051938586311,0.16411743864283793
11,low,6.0,0.0,99.17169761685429,862.7875441437891,282.3052469676808,0.6124221311845732,0.5585940434482684
11,high,6.0,1.0,102.90121057710141,781.0869944537635,250.6992194230556,0.7058329459580981,0.48307718080476986
11,low,6.0,2.0,108.5832416612612,606.0676903311277,194.75367540264867,0.848147279973629,0.34940546399886163
11,high,6.0,3.0,111.11715877801763,590.5723569523758,210.223716828259,0.9116127418094595,0.38636831837141994
11,low,6.0,4.0,94.18909255291409,549.0959606719766,275.2083664615126,0.4876258900457557,0.5416373363889921
11,high,6.0,5.0,104.84552834814438,982.803577031355,257.59900721996206,0.7545310760109116,0.4995629706305425
11,low,6.0,6.0,89.51716753881674,645.7052568995838,226.2133379122401,0.3706110608229264,0.4245726139734444
11,high,6.0,7.0,96.01201898900929,412.3693893380177,241.64395400503014,0.5332836060754026,0.4614412686735175
11,low,6.0,8.0,104.46625155975246,583.3781068453123,224.3044805615795,0.7450315638209801,0.4200117460139282
11,high,6.0,9.0,100.03920855062935,866.8627753843489,364.93311532395853,0.6341501433975943,0.7560183283058327
11,low,6.0,10.0,98.26452765010593,753.4010304619555,277.28151405905913,0.5897008035915943,0.5465907460556316
11,high,6.0,11.0,96.28374954338209,793.6380549713192,280.73234741934175,0.5400894739603991,0.5548358856419375
11,high,7.0,13.0,95.08588884880952,685.5099077975407,273.9345764147651,0.5100873946921748,0.5385938464135098
11,low,7.0,14.0,113.67491445639627,360.67012216122987,144.54340174431212,0.9756752734203237,0.22943713410370264
11,high,7.0,15.0,93.85791342716932,705.8010211948779,275.80666290009117,0.47933105039737633,0.543066857068503
11,low,7.0,16.0,99.53986110844667,611.7401573369671,268.25962998299553,0.6216432954722639,0.5250345925783965
11,high,7.0,17.0,93.20488229344089,534.8321047157846,270.19154072594733,0.4629749816762719,0.5296505424319174
11,low,7.0,18.0,105.41547337248551,465.44903639184014,192.84540210341038,0.7688061381081065,0.34484599152414563
11,high,7.0,19.0,107.28632310820016,432.7806527200229,189.38099292311543,0.8156641595159099,0.3365684149815124
11,low,7.0,20.0,111.32075424586489,385.4838819126051,149.04265794705228,0.9167120721344975,0.2401872896612307
