pid,workload,block_number,interval,tonic_avg,amplitude_avg,peaks_num,tonic_avg_norm,amplitude_avg_norm
1,low,6.0,0.0,202612.31142312087,4.423710114742924,3,0.4632979194483045,0.33765566544668557
1,high,6.0,1.0,199846.76605645876,5.069771031124511,2,0.45601430829073947,0.3869686002868107
1,low,6.0,2.0,197382.2765866878,0.9613259405598247,7,0.449523587431081,0.07337667743849256
1,high,6.0,3.0,193358.65603315024,3.505737345307472,4,0.43892658623528213,0.26758807550839747
1,low,7.0,4.0,253405.75920588244,12.024655663523967,4,0.597072518650865,0.9178253105471385
1,high,7.0,5.0,239826.15106879958,0.9806821947593167,2,0.5613079325641804,0.07485411350974483
1,low,7.0,6.0,246666.6188315436,7.276219936026356,1,0.5793236584749875,0.5553837888806136
1,high,7.0,7.0,236606.69127001334,1.1504003882365417,5,0.5528288478981156,0.08780846812850175
1,low,7.0,8.0,238123.19515790135,7.014819164446689,3,0.5568228610759371,0.5354314300716914
1,high,7.0,9.0,231075.1647495303,0.683266385334737,4,0.5382604778512393,0.05215277674924215
1,low,7.0,10.0,239464.24756081018,6.369550484062651,2,0.5603547880377774,0.48617896550787376
1,high,7.0,11.0,246824.57617465805,0.47476758455957513,18,0.5797396704054358,0.03623835209335251
1,low,7.0,12.0,234643.82222135863,4.989999779970244,2,0.5476592437122778,0.38087977118333
2,high,7.0,0.0,325693.3710222,4.662736349091735,5,0.7874562535648014,0.35590020682142104
2,low,7.0,1.0,316167.41677779885,6.445334251472341,3,0.7623677674175945,0.4919634355004928
2,high,7.0,2.0,348208.661049923,11.443274554496565,2,0.8467547267117702,0.8734492958095209
2,low,7.0,3.0,349419.61197873595,12.749214755036098,4,0.8499440056882389,0.9731299023612862
2,high,7.0,4.0,344268.8331330192,13.101246528444255,3,0.83637841001114,1.0
2,low,6.0,5.0,343767.6791693059,7.081275138306352,3,0.8350585218452242,0.5405039225032611
2,high,6.0,6.0,329089.6553908066,3.9580014753524346,4,0.7964010407375767,0.3021087700898671
2,low,6.0,7.0,318813.0124827919,2.5130659712979817,3,0.7693354673973462,0.19181884455359555
2,high,6.0,8.0,318331.43432471296,8.13404315073586,3,0.7680671359905621,0.6208602466243156
2,low,6.0,9.0,329631.4059318406,2.8409663662674087,4,0.7978278480258818,0.21684702750225762
2,high,6.0,10.0,333589.3878379446,8.40864033361987,2,0.8082519768506187,0.6418198692287624
3,high,6.0,0.0,156540.09110940853,0.9950991764448716,3,0.3419576073435089,0.07595454175176394
