,PId,BlockNumber,EDATonic,EDAPhasic
108,22,5,0.07663010399694407,-0.0014609830167565494
109,22,6,0.22741724819660464,5.137547661141174e-05
110,22,7,0.3723995136093266,0.001608594162644874
111,22,2,0.1721522627373405,0.0011785609320634583
112,23,3,-0.6375070830708766,-0.0003688613096416361
113,23,6,-0.19437819322087113,0.004588278759194562
114,23,4,-0.05022023361132435,-0.0016938906495115671
115,23,5,0.06013662699958049,-0.0016794188228948688
116,23,7,0.1821609824931783,0.0001330656813108046
117,23,2,0.3462574830958649,-0.00034472856293463194
118,23,1,0.3371675582620646,0.0017090922760125016
